gene,log2fc_late_minus_early,pval,qval,significant
PRSS22,0.031486344565191504,0.02357734978213056,0.052830433800417964,False
DNAJC15,-0.09882084990505824,0.023584939525719984,0.052841501771413085,False
MROH6,0.1416490456927737,0.023602841311755694,0.05287566854761629,False
PIGK,-0.16144432389746832,0.023620766128118434,0.05289799338003205,False
FAT1,-0.09211202822894116,0.023620766128118434,0.05289799338003205,False
S100A3,0.20584903134573596,0.023620766128118434,0.05289799338003205,False
GSPT2,-0.1522528701249488,0.02363869431967267,0.05293219759047997,False
TK2,-0.09261656110002825,0.02365663713051846,0.0529664268510137,False
PAX5,0.03621593505562798,0.023674327213182005,0.0530000826382689,False
BLNK,-0.18129544573511636,0.02372852659367521,0.05310353793079557,False
NPM1,-0.11839875885983453,0.023728529412451484,0.05310353793079557,False
WDR44,-0.1119826505162429,0.02372852659367521,0.05310353793079557,False
IAPP,0.01944168954331498,0.023771422627419075,0.05319356053260174,False
AKT2,-0.09447472659772149,0.023782567997205996,0.053212528417494465,False
STT3B,-0.16264258853415736,0.023800608333930887,0.05324691752265642,False
TSSK3,-0.04377812447082008,0.023815868270125478,0.05327507927406729,False
TRIM68,-0.10607243723034054,0.02383671896471864,0.053315739591492065,False
TBC1D2B,-0.1179521551275684,0.023854789265359458,0.05333820661351765,False
MRPL23,0.09971289632935232,0.023854789265359458,0.05333820661351765,False
LY9,0.11483170344417193,0.023854775119197317,0.05333820661351765,False
CA6,0.017028439573275864,0.023874850774828687,0.053371092583084916,False
UHRF1BP1,-0.11234725142392143,0.02387287710916006,0.053371092583084916,False
FNDC7,0.014554508468204538,0.02388183817742619,0.053380727531560916,False
TBX3,-0.1990066919071536,0.023945330466638774,0.053510660385649285,False
CD6,0.201081703614872,0.02394533614007237,0.053510660385649285,False
RAPGEF6,-0.062364360131436314,0.02401797161557869,0.05364609368360028,False
CPLX2,0.03174699062039529,0.024016062102007015,0.05364609368360028,False
ALDOB,-0.5356857995040949,0.02401798298643018,0.05364609368360028,False
C16orf90,0.031322511089095006,0.024019394037190275,0.05364609368360028,False
TMED7,-0.11156881429463006,0.024017985829143332,0.05364609368360028,False
AGMO,-0.26473091610554,0.024054379450695766,0.05371821432436964,False
FBXO24,-0.04199907037548686,0.02407245040272584,0.05375254968412452,False
ROBO3,0.1805900213569871,0.02409082373067287,0.05377551504029179,False
SRSF10,-0.07576103939519552,0.02409082657939042,0.05377551504029179,False
TSPAN15,-0.10353756561910732,0.02409082657939042,0.05377551504029179,False
VEPH1,-0.19711065530120697,0.02410906381732122,0.053810199752574776,False
CCDC168,0.012401995202844067,0.024125984135393606,0.05384193773130487,False
LYZL2,0.013126372411864262,0.02413511937955571,0.05385629660767563,False
FOXB2,-0.028242979741491377,0.024139359127028238,0.05385972943987119,False
XKR9,0.09031593708585917,0.024145551383237547,0.05386751745317111,False
NOXRED1,-0.07589095734344797,0.024237074295939704,0.05405962170548908,False
SNRPA,0.12358187658893982,0.024237082878190735,0.05405962170548908,False
IL17F,-0.034050576029646826,0.024244743151515057,0.05407065871978828,False
CCDC125,-0.11081917031271793,0.024255416063801064,0.05408841130523047,False
PGC,0.02076648248516444,0.024260939892564688,0.054094678995521665,False
DOK4,-0.0573877137075538,0.02431049636870736,0.05419306057212959,False
PALD1,-0.11744658959931797,0.02431049923548636,0.05419306057212959,False
NPIPA2,0.04718246121997283,0.024339714455076385,0.054252121498637555,False
RPL5,-0.08415494999668383,0.02434727964328675,0.05426291767581615,False
