,mean_weight,std_weight,folds_in_top50,abs_mean
CFAP74,-0.0037887948727866883,0.0008365041649009383,0,0.0037887948727866883
P2RY6,-0.003782597626601274,0.0012607187724595615,0,0.003782597626601274
ZNF285,-0.003779121091625503,0.0002599101139315667,0,0.003779121091625503
DCAF8L2,-0.0037788501379242626,0.0036598564215340715,1,0.0037788501379242626
RASSF8,0.003776814603060711,0.0008901394555633282,0,0.003776814603060711
XKR7,-0.0037764430365920393,0.0017722816678792349,1,0.0037764430365920393
GATA3,0.003772731200480972,0.0010213144055860003,0,0.003772731200480972
RIPPLY3,-0.0037714503337865587,0.0008308775996002558,0,0.0037714503337865587
CRYBA2,-0.003770036895039227,0.0012407078119230689,0,0.003770036895039227
KRTAP19-5,0.003768139669948424,0.0013250774548840495,0,0.003768139669948424
ZNF883,-0.003767972804769582,0.0014389676288835867,0,0.003767972804769582
FBXO15,-0.0037632235085955762,0.0011949906344644315,0,0.0037632235085955762
STBD1,-0.003761047839598504,0.0009546406475889848,0,0.003761047839598504
RHOBTB2,-0.0037593531649505337,0.0006017891070266927,0,0.0037593531649505337
TSTD1,-0.003758222401737628,0.0013299297408246116,0,0.003758222401737628
KRTAP10-6,0.003753224302135362,0.0016140020693443885,0,0.003753224302135362
POTEI,-0.0037507947378134705,0.0013467347421523797,0,0.0037507947378134705
INHA,-0.003745476754904914,0.0009720496232224734,1,0.003745476754904914
ALG5,-0.003744785515671853,0.0009798916224764717,0,0.003744785515671853
MGAT2,-0.0037416616703032568,0.0023655944421839326,1,0.0037416616703032568
LRRN4CL,0.0037386378252335364,0.0013480662812535248,0,0.0037386378252335364
TM7SF2,-0.0037383744246566,0.0009525071123993042,0,0.0037383744246566
SGCZ,0.003736215714695361,0.0017300005153659719,0,0.003736215714695361
CHD4,0.003732479198391174,0.00047656559362837186,0,0.003732479198391174
SYT4,-0.0037248212844722623,0.0025844666570566306,1,0.0037248212844722623
EBLN1,0.0037136450049586878,0.0018368039095628414,1,0.0037136450049586878
SLC5A12,0.0037136325565051685,0.000740163389919545,0,0.0037136325565051685
HYAL3,-0.003712342851699067,0.0017586892490431935,0,0.003712342851699067
DIPK1B,-0.0037095528270102845,0.0009823203509707159,0,0.0037095528270102845
RIT2,-0.0037034528991269494,0.001042005936213942,0,0.0037034528991269494
NOS2,-0.003696221014170595,0.0003824612561025341,0,0.003696221014170595
KRTAP6-2,0.003694319615607642,0.001101026542729634,0,0.003694319615607642
FGF14,-0.0036930807651989186,0.001927404625111567,1,0.0036930807651989186
SPEGNB,-0.003691649437289714,0.0011132256830622103,0,0.003691649437289714
MKRN3,0.0036914637559353806,0.0007955543265085785,0,0.0036914637559353806
SMPD2,0.0036900785530893073,0.0005318579102971516,0,0.0036900785530893073
AC004706.3,-0.0036871606147423222,0.001313034044280485,0,0.0036871606147423222
NUDT11,0.003686115315454405,0.0008564258732124456,0,0.003686115315454405
OR56B4,0.0036812325942997075,0.0013353003674662813,0,0.0036812325942997075
ERVV-1,0.0036802809159301184,0.0013197866298478647,0,0.0036802809159301184
PCDHB13,0.0036767249042748695,0.0007905974081461992,0,0.0036767249042748695
PCDH15,-0.003672721676475005,0.0019898874283536742,1,0.003672721676475005
KCNE5,0.003672522912443487,0.00036366297655914193,0,0.003672522912443487
TRIB3,0.0036722523272438795,0.0007964742317543983,0,0.0036722523272438795
ICA1,-0.003670737268433264,0.0010113187843398663,0,0.003670737268433264
ZNF625,-0.003669387413531165,0.0008439345293403327,0,0.003669387413531165
BAIAP2,-0.003663253873331193,0.0006349533938940473,0,0.003663253873331193
CASKIN1,-0.0036626387779422564,0.00108995374288089,0,0.0036626387779422564
VWA1,-0.0036624981455203676,0.000788871289198716,0,0.0036624981455203676
PAX7,-0.003658861109713187,0.0005251608794567974,0,0.003658861109713187
GREM1,0.003658410457119306,0.0007071473447431108,0,0.003658410457119306
PLEKHF1,0.003657547491564039,0.0016303670131466634,0,0.003657547491564039
OR2S2,0.0036572120495698642,0.0020723778475816596,0,0.0036572120495698642
DSG2,-0.003655275598729635,0.0010868823341802646,0,0.003655275598729635
TBC1D7,0.0036548985721564587,0.0009125902447426977,0,0.0036548985721564587
HS3ST3A1,0.0036537405005510545,0.0008591166054140487,0,0.0036537405005510545
FAM9B,0.0036517817816381975,0.002020288403484431,0,0.0036517817816381975
MXRA8,0.0036490967414423417,0.0010395004454004236,0,0.0036490967414423417
OR10G7,-0.0036479956190111165,0.0013133958527528065,0,0.0036479956190111165
SH2D4B,-0.003647136395168763,0.0008411638905315177,0,0.003647136395168763
OR5M10,-0.0036423534470552956,0.0009906237918662457,0,0.0036423534470552956
PRSS12,0.0036344839075826024,0.0007745608353702305,0,0.0036344839075826024
SLITRK1,-0.003630844495926602,0.003111339305254479,1,0.003630844495926602
SLC27A5,-0.0036303651073779338,0.0009697729417068093,0,0.0036303651073779338
DSC1,-0.0036290251881054445,0.000807875897854566,0,0.0036290251881054445
TEX2,-0.0036247198784754033,0.0005812030199152246,0,0.0036247198784754033
GPR25,0.003612917979825191,0.0022518941171276495,0,0.003612917979825191
COL9A2,0.003612347770373986,0.0006891511073463928,0,0.003612347770373986
OR2V1,-0.003612228133428384,0.002406890728372384,1,0.003612228133428384
CDH11,0.003606871370915586,0.0010549228194908524,0,0.003606871370915586
KRTAP3-3,-0.0036055363741092326,0.0006983225306844406,0,0.0036055363741092326
PRR29,-0.0036053761657414973,0.0010676057080203363,0,0.0036053761657414973
SSTR4,-0.0036028111816826794,0.0013149733857567689,0,0.0036028111816826794
PLA1A,0.003602178164258301,0.001411871470872953,0,0.003602178164258301
SEZ6,-0.003601810696992759,0.001937832014946494,1,0.003601810696992759
LYRM9,-0.0036003646679707486,0.0007170682591592101,0,0.0036003646679707486
TFAP2D,-0.0035981994256237514,0.0009131804186351106,0,0.0035981994256237514
SPDYE4,-0.0035979891627137676,0.0006008421404371375,0,0.0035979891627137676
TMEM229A,-0.0035979161575331172,0.002748849868202844,1,0.0035979161575331172
SPO11,-0.003593319939063934,0.0010730517294823734,0,0.003593319939063934
DAZ3,-0.0035927379865145596,0.0013331984385785394,0,0.0035927379865145596
VAV3,-0.0035927365534219402,0.0003307965207673325,0,0.0035927365534219402
JAKMIP3,-0.0035873698595984883,0.0006267238510986175,0,0.0035873698595984883
KRT3,0.0035828254611951008,0.0023166939936046264,1,0.0035828254611951008
OR5H2,-0.0035817185092429094,0.0013835999641062756,0,0.0035817185092429094
SIX4,0.0035793994758274786,0.0005412484045019035,0,0.0035793994758274786
TBC1D3E,-0.0035782521249344166,0.0006419488173389344,0,0.0035782521249344166
HAPLN1,0.0035776602118752624,0.0004146143223434863,0,0.0035776602118752624
SH3BGR,-0.0035773445394241344,0.0014092668301801813,0,0.0035773445394241344
RASL11B,0.0035734556687611356,0.001091692598975831,0,0.0035734556687611356
